time,news,publisher
18:10,Glencore ограничит выпуск цинка в Италии из-за роста цен на электроэнергию,(GMK Center)
18:10,Глава JPMorgan невдало пожартував про Китай: чи становить це загрозу для банку з Волл-стріт,(24 канал)
18:17,"Порошок назальной формы: Появилась карикатура о том, чем на самом деле прививался Путин",(Newsyou)
18:00,Хаскі зажурилася під пісню Адель. Відео,(META)
17:57,Став світовою зіркою: харківський кіт Степан потрапив в Instagram Брітні Спірс,(UNN)
17:43,Створені одне для одного. У США 101-річна жінка забрала з притулку 19-річного кота,(НВ)
17:30,"Водій BMW у Чернівцях оригінально вирішив ситуацію, коли легковик заблокував йому дорогу – курйозне відео",(U-News)
18:13,Новорічну ялинку в Берегові на Закарпатті прикрасять у біло-блакитних тонах,(UA: Cуспільне мовлення)
18:11,Спецназ СБУ отработал сценарий нападения террористов и захвата заложников на Донбассе,(Гордон)
18:08,В Испании всплыло затопленное село. Это происходит не впервые,(Маяк)
18:01,"На Донеччині перекинутий молоковоз ставили на колеса краном, є поранені. ФОТО",(Магнолія-ТВ)
17:51,"Единичка возле костела и особняк под Киевом с ""дырой"" в спальне: как выглядит жилье Влада Ямы (видео)",(РБК-Україна)
18:08,"""Укрзалізниця"" запускает 12 пар скоростных поездов: дата и маршруты",(Обозреватель)
18:05,"Политолог рассказал, как ""вагнергейт"" повлиял на Зеленского (видео)",(Криминал.TV)
18:04,"Україна нарощує експорт ягід, горіхів та фруктів",(GrowHow.in.ua)
18:01,«Дім Ґуччі». Новий фільм Рідлі Скотта вийшов у прокат. Чому варто піти у кіно,(Zaxid.net)
18:00,"Стало известно, сколько со следующего года будет стоить 1 литр подсолнечного масла",(Стена)
18:00,Гороскоп на 26 ноября для всех знаков зодиака,(Сегодня.ua)
17:57,"""Парниша растет не по дням, а по часам"": жена ""Холостяка"" Добрынина показала подросшего сына",(Сlutch)
17:50,Як пронести в літак додаткові речі у ручній поклажі: стюардеса назвала цікавий спосіб,(24 канал)
17:48,Не аеробікою єдиною: чи допомагають силові тренування спалювати зайвий жир,(Факти ICTV)
17:48,Самый простой рецепт жаренного яйца в тосте,(Соцпортал)
